No,Username,Komentar,Sentimen,platform
65,fokusberitaid,"Siapkan CV kamu sekarang! Telkom Indonesia resmi membuka program Digistar class intern 2025, lengkap dengan mentoring berkelas dan proyek nyata di unit TelkomGroup — pendaftaran dibuka sejak 16 Juni  #berita #telkom #digistar #telkomforyou @KemenBUMN @TelkomIndonesia https://t.co/BKdy6otHUS",Netral,x
66,lalinsosmed,Mahasiswa semester 6? Ini waktunya! @TelkomIndonesia gelar Digistar class Intern: mentoring intensif + project nyata. Ayo daftar! @KemenBUMN #berita #telkom #telkomforyou #digistar https://t.co/XM99atoFM4,Positif,x
67,maniakupdate_,"Digistar class Intern @TelkomIndonesia bukan sekadar magang—ini camp digital skill mulai dari AI, cloud, hingga cyber security! @KemenBUMN #berita #telkom #telkomforyou #digistar https://t.co/3jpIvZS3hT",Positif,x
68,si_happening,Daftar Digistar class Intern @TelkomIndonesia mulai 16 Juni 2025! Latih soft‑&amp; hard‑skill lewat mentoring × real work experience. Siap jadi talenta digital? @KemenBUMN #berita #telkom #telkomforyou #digistar https://t.co/BinPyGrnFo,Positif,x
69,Magzviral,"Program Digistar class Intern @TelkomIndonesia buka batch 3! Dapat modul AI, B2B, cloud + peluang jadi youth ambassador. Ga yakin? Yuk daftar! @KemenBUMN #berita #telkom #telkomforyou #digistar https://t.co/kfFpt8pz0V",Positif,x
70,fikrirmt,@NurayzatJoe teringat pulak internship kat digistar ha ha ha,Netral,x
71,Interna87033216,Telkom Kembali Buka Program Digistar Class Intern 2025 Batch 3 untuk Mahasiswa https://t.co/cVO09NaEik,Netral,x
72,KabarNetral,Pendaftaran Digistar Class Intern Batch 3 Telkom Indonesia dibuka via portal BUMN sejak 16 Juni 2025  Sumber: https://t.co/OmN6ZqBWTu  Angel Pol #UnboxingTiara #GarnierUVCoolingxBUS #endpolicebrutalityke #telkom #digistar #telkomforyou https://t.co/29fe4OmnSJ,Negatif,x
73,cakrawalanewss,Digistar Class Intern Telkom Indonesia integrasikan peserta ke proyek nyata berbagai unit kerja TelkomGroup  Sumber: https://t.co/Ofr9xpQQKK  Angel Pol #UnboxingTiara #LoveIsland #openloop #telkom #digistar #telkomforyou https://t.co/J7qNtPqj3K,Negatif,x
74,infoupdateber,Program Digistar Class Intern oleh Telkom Indonesia gratis tanpa biaya pendaftaran bagi peserta terpilih  Sumber: https://t.co/3cVLQXh7dB  #Loker #KimPau #LoveIsland #telkom #digistar #telkomforyou https://t.co/kjGlwWgqu3,Positif,x
75,beritanasi0nal,Telkom Indonesia Resmi Membuka Digistar Class Intern Batch 3 Bagi Mahasiswa. Program ini dibuka mulai 16 Juni 2025 untuk mahasiswa aktif minimal semester 6  #berita #telkom #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/RIDfvmOcjP,Netral,x
76,beritanasi0nal,Digistar Class Intern 2025 Batch Komitmen Telkom Tingkatkan Kemampuan Mahasiswa  #berita #telkom #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/CDSOJ7Pxsk,Positif,x
77,beritanasi0nal,Banyak Keunggulan Digistar Class Intern Batch 3 dari Telkom Indonesia Tingkatkan Kualitas Perguruan Tinggi  #berita #telkom #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/GO1LsVliN3,Positif,x
78,infonihguys,Digistar Class Intern 2025 Batch Komitmen Telkom Tingkatkan Kemampuan Mahasiswa  #berita #telkom #digistar #telkomforyou  @kemenBUMN @telkomindonesia https://t.co/pKoKwQeHCr,Positif,x
79,infonihguys,Telkom Indonesia kembali buka program Digistar class Intern 2025 untuk mahasiswa   #berita #telkom #digistar #telkomforyou  @kemenBUMN @telkomindonesia  Al https://t.co/UQxa6oDgyA,Netral,x
80,akuiniikan_,"@yappingfess bismillah, keterima magang di telkom",Positif,x
81,indoict,Telkom Kembali Buka Program Digistar Class Intern 2025 Batch 3 untuk Mahasiswa https://t.co/s3RaLR7jKB via @indoict,Netral,x
82,crescentnitee,"guys tolong isi dong, biar ada gambaran 😔🙏

bolee komen juga ya rolenyaa

digistar class internship telkom",Netral,x
83,phyylisssn,yg daftar digistar internship Telkom udah ada yg dpt email blm sihh? gue bolak balik cek web magenta sama digistar statusnya blm berubah. plss udh ketolak 2 tempat magang ini Allahu 😭,Positif,x
84,anggurrrr9088,info yang daftar general role jakarta digistar internship telkom ada yang udah dapet email belum,Netral,x
85,Lilyanna2112,yang daftar Digistar Internship by Telkom role Data Science daerah jakpus udah ada yg dapet pengumuman belum?,Netral,x
86,velvelatte,"Digistar Internship by Telkom role Business Analyst udah ada yg dapet info lanjutan?

Digistar Intern Telkom",Netral,x
87,velvelatte,"Digistar Internship by Telkom kapan pengumuman ini hadaaahhhh

Digistar Intern Telkom",Negatif,x
88,lonely_b0yy,semoga besok pacar ku dapat kabar baik dari digistar internship telkom ya gusy,Positif,x
89,sournalla,"@UPIfess depends kamu mau yg paid/unpaid? kalo unpaid di ig kayak maganginfo, internship.time, karirspot, tempatmagang dll banyak. sedangkan paid agak susah biasanya bbrp company bakal buka program intern kyk digistar, ulip, nestle jg lagi buka",Netral,x
90,hitamputih_abu,"guys ada yg ikut digistar internship telkom 2025? mau nanya, kira kira ada yg tau ga di online test nanti materi nya apa aja? kalo dari email, tulisannya gini https://t.co/2Ne7oxJY9n",Positif,x
91,rabukanramayana,no offense but keterima magang di digistar class internship telkom 2025 ini is actually... aaaaaa aamiin,Positif,x
92,ambismanifesto,gapernah on akun ini tapi BENERAN MANJUR GUYSSSS 😭😭😭😭😭😭👁👄👁 https://t.co/2PhegJ3Vvj,Positif,x
93,tavorynrash,"@janeyrle @undipmfs kak ini tuh dr telkom, si sendernya yg pegang digistar club undip. Kepoin ignya ajaa, aku sampe apal templatenya begini😭",Positif,x
94,chi.cong.fan,Belum ada tuh bentar ya w cek spam dulu,Negatif,instagram
95,callmepix_,"Halo kakmin, apa final day besok tinggal pengumuman tidak lolos?",Netral,instagram
96,rarahayu25_,hai guyss mo nanya ada yg blm dapet email sampe hari ini?,Netral,instagram
97,pumpziii,"Udah di umumin ga lolos to views video resume yg di upload ke yt ga nambah views nya hadehh kl gabisa buka smua video resume applicants ngapain mnta, jd ngerasa gaada tranparansi nya deh ini rekretumen pdhl br rekrutmen intern",Negatif,instagram
98,brontotoroto,ini email rejection doang kah yg blm dapet? :),Negatif,instagram
99,lavenderg4ze,administrative assistant adakah yg udh dapet email gak lolos??😢,Netral,instagram
100,rizqimaulidin77,Kok sy gak lolos,Negatif,instagram
101,seekorpatapon,Apa ada yg dapat email lolos bagian data processing & visualization?,Netral,instagram
102,ladygeorgeousooo,Adakah yg udah dapet email bagian administrative assistant?,Netral,instagram
103,itsningning__,yang data science apa udah pada dapet?,Netral,instagram
104,bluwbrrymoon,ada yg udh dapet email di role engineering gak ya?,Netral,instagram
105,sn.art28,Kak magang lg ini open kapan ya?,Netral,instagram
106,ginajry,sampe skrg ada yg blm dapet email ga lolos/lolos ga ya?:(,Negatif,instagram
107,gerrykitten_,"Benci bgt sm cara kerja recruitmentnya! Pls lah, kita bikin vide sampe berhari2. Kl emg ga sesuai kriteria, seengganya diikasih tau ga lolos krn apa. & Next time syaratnya ga perlu buat video resume lah. Buang2 waktu. Bahkan tadi ada yg comment, video nya aja ga diliat samsek. LOL👎👎",Negatif,instagram
108,seekorpatapon,"(update) sampai hari ini, Minggu 23 Februari 2025, video resume aku nggak dilihat, karena traffic ke video YouTube nya lewat link sama sekali tidak ada. Sedikit kecewa, namun tak apa, artinya Tuhan sudah merencanakan yang lebih baik. Semangat teman-teman lain. Tetap semangat, berusaha, dan berdoa. Dengan 3 itu, Tuhan pasti akan berikan yang terbaik. 🙌",Negatif,instagram
109,luttfi_jh,"upload jumlah yg keterima di batch fresh graduate dong min, biar adil kayak batch mahasiswa🫵🏻",Negatif,instagram
110,tardis_grada,Alhamdulillah lolos,Positif,instagram
111,slavina_tegar,ada yg udah dpt email lolos/ga lolos community and campaign??,Netral,instagram
112,devitazizahmhrn_,Ada yang udah dpt email lolos? (Mau tauu aja),Netral,instagram
113,lalalalalostyoi,mau nanya sampai sekarang ada yang sdh dapet email lolos?,Netral,instagram
114,luttfi_jh,ada yg udh dapet email di role general gak yaa?,Netral,instagram
115,theplacememorystayed,Ada yg udah dapet offering community and campaign ga yaa?,Netral,instagram
116,ahmadfaishol_a,ada yang masih belum dapat email ga yaa? terus status di web juga masih diproses,Netral,instagram
117,lalalalalostyoi,haii all mau nanya ada kah yg sudaah dpt wa / email sampai hari ini?,Netral,instagram
118,ha.jeeee,info dong yang dapet offering di DCI-WINS0302 Data Analyst? 👀,Netral,instagram
119,yongkigunawan08,Nice try brarti 😢,Negatif,instagram
120,ayumiranda_lbg,Adakah yg lolos marketing?,Netral,instagram
121,sepuluhmei2026,Wah congrats guys yg batch mahasiswa 🔥👏,Positif,instagram
122,adhrafif,sampe detik ini ada yg masih belum dapet email? dan belum ada perubahan status di website?,Negatif,instagram
123,clouddsett,ini klo di web nya masih diproses brrti g keterima yaa min?😢,Negatif,instagram
124,chandets_dra,Adakah yang lolos data analyst jaksel?,Netral,instagram
125,2nd.apisss,"gimana ini min saya blm dapet email lolos/tidak tp di web juga ga berubah², baik web digistar maupun magenta",Negatif,instagram
126,_.andri,7 februari apa 6 februari kak ? di web 7 feb,Negatif,instagram
127,ajengshy_,belum dapet email ga lolos ya min?,Netral,instagram
128,devitazizahmhrn_,Ini yang termasuk fresh graduate kah?,Netral,instagram
129,whoosssyya,adakah yg dapet email ga lolos?,Netral,instagram
130,xcvlfta_,gaiss researcher bandung ada yang lolos???,Netral,instagram
131,annmoods,kak kalo yang belum dapet email dan di web statusnya masih proses bagaimana ya?,Netral,instagram
132,ajengshy_,Ada yg lolos learning value chain Bandung?,Netral,instagram
133,_atikah_12_,Ini semua 253 sdh dpt email kah??,Netral,instagram
134,iftasdaily,"min, minimal kandidat yg ga lolos juga dikasi kejelasan min jangan gantung kaya gini😔",Negatif,instagram
135,nnpratamaaa,"Thankyou telkom, MSIB, DDB batch agustus, dan digistar. Walaupun mungkin belum bisa bergabung, aku berharap bisa bergabung dengan keluarga telkom di kesempatam lainnya ya 💗✉️",Positif,instagram
136,suryaavndi_,telkom terima aku batch selanjutnya di msib atau magenta plis 🙏🏻,Positif,instagram
137,zhrns.p_,Minimal yang ngga lulus kirim email min biar ga nunggu lama sama biar bisa daftar ke program magang lain di magenta☺️,Negatif,instagram
138,rosariodio,"Ini yg kandidat 200an org ini udh dpt email atau gimana ya? Soalnya mau ganti juga nih di magenta, cuma belum dapat emailnya lulus/gagal",Negatif,instagram
139,itz.yuns,Gada info apa apa ya min buat yg ga lolos. Sedihnya disitu sih min😢,Negatif,instagram
140,bybibilly,"min kok beda ga di website tulisannya maksimal registrasi tanggal 7, yg bener yg mana? krn harus minta ttd kaprodi juga jd tolong kejelasannya",Negatif,instagram
141,husainn.exe,Timeline 3 February loh kak 😢,Negatif,instagram
142,daraayunii,tidak transparan!,Negatif,instagram
143,torshint00,yang bandung udh ada yang dapet email blum?,Netral,instagram
144,myluvv.asahi,ada yg lolos hc service operations jaksel?,Netral,instagram
145,iamdcdcdc,"minimal transparansi buat yang lolos dan ngga lolos min, itu hal yang prinsipil loh :)",Negatif,instagram
146,kutukan.neneksihir,mana min gaada email nya,Negatif,instagram
147,realdimasjuniors,"Kalau kaya gini langsung left/mengundurkan diri saja lah buat apply di perusahaan lain, daripada berharap sama perusahaan yang tidak menghargai effort pelamarnya padahal pas buat video resume sudah effort take sampai berkali2 belum ngedit, tes online pun sampai nyiapin perangkat, internet segala macam.. bukan masalah tidak lolosnya, tapi cara anda menghargai pelamar dengan memberikan kejelasan status diterima/ditolak itu yg tidak habis pikir.. anda ini BUMN lho sekelas telkom lagi.. @erickthohir pripun niki pak?",Negatif,instagram
148,farrellalaric,ada yang lolos role videographer?,Netral,instagram
149,shindii14,Yang balikpapan sudah ada dapat email?,Netral,instagram
150,latishaaverine,ada yang lolos system analyst & qa di telkom corpu bandung gak?,Netral,instagram
151,hananrhhh,adakah yang lolos role general jkt guys?,Netral,instagram
152,unaunayahaaunaaa,Ada yg udah dapet email bagian finance jaksel???,Netral,instagram
153,hananrhhh,"thankyou, telkom 🥹",Negatif,instagram
154,_imsooffline_,"admin, maaf tgl 6 atau tgl 7 ya? soalnya di email tertera regis sebelum deadline 7 feb pukul 23.59. Terimakasih min 🙏",Netral,instagram
155,kutukan.neneksihir,"YAH KOMEN BANYAK GADIBALES, GA PROFESIONAL BGT? MASA PENGUMUMAN GA SERENTAK SI? GAJELAS AMAT NI TELKOM",Negatif,instagram
156,galaxypcy2711,ada yg daftar role engineer penempatan jakpus? udah pada dapet email blm ya?,Netral,instagram
157,devitazizahmhrn_,Ada yang tau ga ya ini pengumumannya udah termasuk yang fresh graduate kah?,Netral,instagram
158,marktebax_x,"Jelek bngt sistem announcement huuuu 👎🏻 gak ada kejelasan dibikin nunggu + berharap selama 2 hari.. harusnya lebih profesional dong ""SERENTAK""!",Negatif,instagram
159,qpwoewie,Ada yang lolos communication and campaign management kahh?,Netral,instagram
160,tyayulistinaaa,Yang keterima dapet email kah? Ini yang gak keterima doang gak dapet email apa gimna ko gak ada kejelasan kepastian ya?,Negatif,instagram
161,kamilafatinn,"Sedih bgt Min saya ga lolos adm juga, kurang cocok dengan pengalaman saya kah?😁🙏🏻",Negatif,instagram
162,ary_wardana06,Gak lolos adm😢,Negatif,instagram
163,anisazzrl,sedih banget saya ga lolos 🥲,Negatif,instagram
164,daryraa,Mantapp min terima kasih infonya 😁,Positif,instagram
165,gustaf_atmaja,Sayang nya tidak lolos min😢,Negatif,instagram
166,fyafiqsauzan,"Gak lolos Langsung tersadar, posisi yang di apply sama data yang di submit gak kesinambungan. Tak putus asa, baru sekali juga nyobain 🙌",Positif,instagram
167,at_sftdn,Yahh ga lolos adm😂,Negatif,instagram
168,_atikah_12_,Pengumuman buat mahasiswa serentak tgl 3 atau gmn ya min??,Netral,instagram
